film,festival,year,section,recognition_type,original_text,source_url,status,reason
Arco,Cannes Film Festival,2025,,screening,Cannes Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Bombay Rose,Venice Film Festival,2019,,screening,Venice Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Ghost Cat Anzu,Annecy International Animation Film Festival,2023,,screening,Ghost Cat Anzu screened as a work in progress at the 2023 Annecy International Animation Film Festival.,https://en.wikipedia.org/wiki/Ghost_Cat_Anzu_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Ghost Cat Anzu,Cannes Film Festival,2024,Directors' Fortnight,screening,"The finished film premiered on May 21, 2024, in the Directors' Fortnight section of the Cannes Film Festival.",https://en.wikipedia.org/wiki/Ghost_Cat_Anzu_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Ghost Cat Anzu,Fantasia International Film Festival,2024,,screening,"It had its North American premiere at the 28th Fantasia International Film Festival on July 21, 2024.",https://en.wikipedia.org/wiki/Ghost_Cat_Anzu_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Ghost Cat Anzu,Busan International Film Festival,,Open Cinema,official_selection,It was invited to 'Open Cinema' at the 29th Busan International Film Festival.,https://en.wikipedia.org/wiki/Ghost_Cat_Anzu_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Have a Nice Day,Berlin International Film Festival,2017,,screening,Berlin International Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Isle of Dogs,Berlin International Film Festival,2018,,screening,Berlin International Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Mars Express,Cannes Film Festival,2023,,screening,Cannes Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
My Neighbors the Yamadas,Japan Media Arts Festival,1999,,award,My Neighbors the Yamadas received an Excellence Award for animation at the 1999 Japan Media Arts Festival.,https://en.wikipedia.org/wiki/My_Neighbors_the_Yamadas,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Nuts!,Sundance,2016,,winner,Nuts! won the Special Jury Award for Editing at its Sundance premiere in 2016.,https://en.wikipedia.org/wiki/Nuts!_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
True North,Annecy International Animation Film Festival,2020,,nominee,"The film was screened at the 2020 Annecy International Animation Film Festival, nominated for feature films contrechamp in competition.",https://en.wikipedia.org/wiki/True_North_(2020_film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Virus Tropical,Animation Is Film Festival,2017,,screening,Virus Tropical had its world premiere at the Animation Is Film Festival on 21 October 2017.,https://en.wikipedia.org/wiki/Virus_Tropical,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
